TimeStamp (ms); Total Power (W); CPU (W); Monitor (W); Disk (W); Base (W); Application (W)
63476249361813;31,6;0,0;--;0,0;31,6;--
63476249362874;36,2;4,6;--;0,0;31,6;--
63476249363886;31,6;0,0;--;0,0;31,6;--
63476249364900;31,6;0,0;--;0,0;31,6;--
63476249366056;31,6;0,0;--;0,0;31,6;--
63476249367068;33,9;2,4;--;0,0;31,6;--
63476249368083;32,1;0,6;--;0,0;31,6;--
63476249369191;32,2;0,6;--;0,0;31,6;--
63476249370223;31,6;0,0;--;0,0;31,6;--
63476249371347;33,1;1,6;--;0,0;31,6;--
63476249372356;31,6;0,0;--;0,0;31,6;--
63476249373387;34,0;2,4;--;0,0;31,6;--
63476249374471;31,6;0,0;--;0,0;31,6;--
63476249375508;35,1;3,6;--;0,0;31,6;--
63476249376545;31,6;0,0;--;0,0;31,6;--
63476249377645;33,1;1,5;--;0,0;31,6;--
63476249378791;32,3;0,7;--;0,0;31,6;--
63476249379831;32,7;1,2;--;0,0;31,6;--
63476249380843;33,2;1,6;--;0,0;31,6;--
63476249381960;33,5;1,9;--;0,0;31,6;--
63476249383031;31,6;0,0;--;0,0;31,6;--
63476249384074;33,8;2,2;--;0,0;31,6;--
63476249385086;34,2;2,6;--;0,0;31,6;--
63476249386102;31,6;0,0;--;0,0;31,6;--
63476249387239;31,6;0,0;--;0,0;31,6;--
63476249388253;32,5;0,9;--;0,0;31,6;--
63476249389282;31,6;0,0;--;0,0;31,6;--
63476249390296;31,6;0,0;--;0,0;31,6;--
63476249391390;32,5;1,0;--;0,0;31,6;--
63476249392402;31,8;0,3;--;0,0;31,6;--
63476249393416;32,2;0,6;--;0,0;31,6;--
63476249394542;32,5;1,0;--;0,0;31,6;--
63476249395554;33,0;1,4;--;0,0;31,6;--
63476249396711;31,6;0,0;--;0,0;31,6;--
63476249397725;32,6;1,0;--;0,0;31,6;--
63476249398736;31,9;0,4;--;0,0;31,6;--
63476249399846;31,6;0,0;--;0,0;31,6;--
63476249400860;33,2;1,7;--;0,0;31,6;--
63476249401875;31,6;0,0;--;0,0;31,6;--
63476249403019;32,0;0,4;--;0,0;31,6;--
63476249404026;32,4;0,8;--;0,0;31,6;--
63476249405133;31,6;0,0;--;0,0;31,6;--
63476249406146;33,2;1,6;--;0,0;31,6;--
63476249407270;31,6;0,0;--;0,0;31,6;--
63476249408323;32,7;1,1;--;0,0;31,6;--
63476249409492;32,2;0,7;--;0,0;31,6;--
63476249410576;31,6;0,0;--;0,0;31,6;--
63476249411640;32,4;0,8;--;0,0;31,6;--
63476249412701;32,9;1,3;--;0,0;31,6;--
63476249413762;31,6;0,0;--;0,0;31,6;--
63476249414791;33,6;2,0;--;0,0;31,6;--
63476249415803;32,2;0,6;--;0,0;31,6;--
63476249416927;33,3;1,7;--;0,0;31,6;--
63476249418007;31,6;0,0;--;0,0;31,6;--
63476249419065;36,4;4,9;--;0,0;31,6;--
63476249420077;31,6;0,0;--;0,0;31,6;--
63476249421187;32,2;0,7;--;0,0;31,6;--
63476249422201;31,6;0,0;--;0,0;31,6;--
63476249423212;34,3;2,8;--;0,0;31,6;--
63476249424248;31,6;0,0;--;0,0;31,6;--
63476249425381;33,4;1,8;--;0,0;31,6;--
63476249426445;31,6;0,0;--;0,0;31,6;--
63476249427524;33,5;2,0;--;0,0;31,6;--
63476249428533;31,8;0,2;--;0,0;31,6;--
63476249429547;32,2;0,7;--;0,0;31,6;--
63476249430575;31,6;0,0;--;0,0;31,6;--
63476249431652;31,8;0,2;--;0,0;31,6;--
63476249432667;31,7;0,1;--;0,0;31,6;--
63476249433823;33,7;2,2;--;0,0;31,6;--
63476249434836;32,8;1,2;--;0,0;31,6;--
63476249435850;31,6;0,0;--;0,0;31,6;--
63476249436942;33,2;1,6;--;0,0;31,6;--
63476249437956;31,6;0,0;--;0,0;31,6;--
63476249438970;31,8;0,3;--;0,0;31,6;--
63476249440107;31,6;0,1;--;0,0;31,6;--
63476249441123;33,2;1,6;--;0,0;31,6;--
63476249442267;31,6;0,0;--;0,0;31,6;--
63476249443324;33,8;2,2;--;0,0;31,6;--
63476249444448;31,6;0,0;--;0,0;31,6;--
63476249445476;32,6;1,0;--;0,0;31,6;--
63476249446568;31,6;0,0;--;0,0;31,6;--
63476249447597;31,6;0,0;--;0,0;31,6;--
63476249448633;31,6;0,0;--;0,0;31,6;--
63476249449717;32,7;1,1;--;0,0;31,6;--
63476249450731;32,0;0,4;--;0,0;31,6;--
63476249451871;34,0;2,4;--;0,0;31,6;--
63476249452987;31,6;0,0;--;0,0;31,6;--
63476249454042;32,9;1,3;--;0,0;31,6;--
63476249455052;32,2;0,7;--;0,0;31,6;--
63476249456168;31,6;0,0;--;0,0;31,6;--
63476249457175;36,8;5,2;--;0,0;31,6;--
63476249458203;31,6;0,0;--;0,0;31,6;--
63476249459219;34,6;3,0;--;0,0;31,6;--
63476249460344;31,6;0,0;--;0,0;31,6;--
63476249461376;31,9;0,4;--;0,0;31,6;--
63476249462494;32,3;0,7;--;0,0;31,6;--
63476249463508;32,1;0,5;--;0,0;31,6;--
63476249464522;32,4;0,9;--;0,0;31,6;--
63476249465636;31,7;0,2;--;0,0;31,6;--
63476249466652;32,5;0,9;--;0,0;31,6;--
